1480114031	130824	998816	427284	
1480114041	131544	1003912	429525	
1480114051	132264	1009008	431997	
1480114061	132916	1014741	434256	
1480114071	133632	1019837	436497	
1480114081	134352	1025346	438738	
1480114091	135072	1030666	440979	
1480114101	135720	1035762	443220	
1480114111	136440	1040947	445710	
1480114121	137160	1046591	447951	
1480114131	137808	1051687	450192	
1480114141	138528	1056783	452433	
1480114151	139248	1061879	454674	
1480114161	139968	1067557	456915	
1480114171	140616	1072708	459279	
1480114181	141336	1077804	461646	
1480114191	141984	1082900	463638	
1480114201	142632	1087996	465879	
1480114211	143352	1093359	468120	
1480114221	144072	1098825	470610	
1480114231	144792	1103921	472851	
1480114241	145440	1109654	475092	
1480114251	146160	1114750	477333	
1480114261	146880	1119846	479574	
1480114271	147528	1125579	481833	
1480114281	148248	1130675	484305	
1480114291	148968	1135771	486546	
1480114301	149616	1141504	488787	
1480114311	150336	1146600	491028	
1480114321	151056	1151723	493269	
1480114331	151776	1157429	495510	
1480114341	152424	1162525	497751	
1480114351	153144	1168258	500241	
1480114361	153864	1173354	502482	
1480114371	154512	1178450	504723	
1480114381	155232	1184183	506964	
1480114391	155952	1189279	509205	
1480114401	156672	1195012	511680	
1480114411	157320	1200108	513936	
1480114421	158040	1205204	516177	
1480114431	158544	1208599	517671	
1480114441	159120	1212848	519165	
1480114451	159768	1217944	521655	
1480114461	160488	1223622	523896	
1480114471	161208	1228773	526137	
1480114481	161856	1233869	528378	
1480114491	162576	1239602	530619	
1480114501	163296	1244698	532952	
1480114511	164016	1250280	535350	
1480114521	164664	1255527	537591	
1480114531	165384	1260623	539832	
1480114541	166104	1266229	542073	
1480114551	166752	1271452	544314	
1480114561	167472	1276548	546555	
1480114571	168192	1282281	548908	
1480114581	168878	1287377	551286	
1480114591	169560	1293110	553527	
1480114601	170280	1298206	555768	
1480114611	171000	1303302	558009	
1480114621	171648	1309035	560360	
1480114631	172368	1314131	562740	
1480114641	173088	1319864	564981	
1480114651	173808	1324960	567222	
1480114661	174456	1330056	569463	
1480114671	175176	1335789	571704	
1480114681	175896	1340885	574194	
1480114691	176544	1346189	576435	
1480114701	177264	1351714	578676	
1480114711	177984	1356810	580917	
1480114721	178632	1362007	583158	
1480114731	179352	1367639	585399	
1480114741	180072	1372735	587643	
1480114751	180792	1377831	590130	
1480114761	181152	1381653	591375	
1480114771	181872	1386749	593616	
1480114781	182592	1392165	595857	
1480114810	183240	1397441	598099	
1480114811	183312	1397578	598347	
1480114837	183529	1398934	599095	
1480114841	183816	1400763	599841	
1480114851	184464	1405859	602082	
1480114861	184752	1407770	602829	
1480114871	185112	1410941	604074	
1480114881	185832	1416051	606315	
1480114891	186480	1421147	608556	
1480114901	187200	1426880	610797	
1480114911	187920	1431976	613038	
1480114921	188568	1437662	615462	
1480114931	189288	1442805	617769	
1480114941	190008	1447901	620010	
1480114951	190656	1453634	622251	
1480114961	191376	1458730	624492	
1480114971	192096	1464104	626733	
1480114981	192816	1469559	628974	
1480114991	193464	1474655	631464	
1480115001	194184	1480388	633705	
1480115011	194904	1485484	635946	
1480115021	195624	1490580	638187	
1480115031	196272	1496313	640428	
1480115041	196992	1501409	642669	
1480115051	197712	1506513	645159	
1480115061	198360	1512238	647400	
1480115071	199080	1517334	649641	
1480115081	199800	1523067	651882	
1480115091	200448	1528163	654123	
1480115101	201168	1533259	656613	
1480115111	201888	1538992	658854	
1480115121	202608	1544088	661095	
1480115131	203256	1549638	663336	
1480115141	203976	1554917	665577	
1480115151	204696	1560013	667818	
1480115161	205344	1565746	670242	
1480115171	206064	1570842	672549	
1480115181	206784	1576239	674790	
1480115191	207504	1581671	677031	
1480115201	208152	1586767	679272	
1480115211	208872	1592191	681513	
1480115221	209592	1597596	683754	
1480115231	210240	1602692	686244	
1480115241	210960	1608425	688485	
1480115251	211680	1613521	690726	
1480115261	212400	1619133	692967	
1480115271	213048	1624350	695208	
1480115281	213768	1629446	697517	
1480115291	214488	1635179	699939	
1480115301	215208	1640275	702180	
1480115311	215856	1645475	704421	
1480115321	216576	1651104	706662	
1480115331	217296	1656200	708903	
1480115341	217944	1661933	711144	
1480115351	218664	1667029	713385	
1480115361	219384	1672125	715875	
1480115377	219961	1676635	717868	
1480115381	220248	1679132	718863	
1480115391	220968	1684228	721104	
1480115401	221688	1689482	723410	
1480115411	222372	1695057	725835	
1480115421	223056	1700153	728076	
1480115431	223776	1705886	730317	
1480115441	224496	1710982	732558	
1480115451	225144	1716228	734808	
1480115461	225864	1721811	737289	
1480115471	226584	1726907	739530	
1480115481	227232	1732640	741771	
1480115491	227952	1737736	744012	
1480115501	228672	1742955	746253	
1480115511	229372	1748565	748577	
1480115521	230040	1753661	750984	
1480115531	230760	1759394	753225	
1480115541	231480	1764490	755466	
1480115551	232128	1769639	757707	
1480115561	232848	1775319	759948	
1480115571	233568	1780415	762303	
1480115581	234288	1786148	764679	
1480115591	234936	1791244	766920	
1480115601	235656	1796340	769161	
1480115611	236376	1802073	771402	
1480115621	237024	1807169	773643	
1480115631	237744	1812902	776133	
1480115641	238464	1817998	778374	
1480115651	239184	1823278	780615	
1480115661	239832	1828827	782856	
1480115671	240552	1833923	785097	
1480115681	241272	1839019	787384	
1480115691	241992	1844752	789828	
1480115701	242640	1849211	791909	
1480115711	243288	1854347	794310	
1480115721	244008	1860040	796551	
1480115731	244728	1865136	798792	
1480115741	245448	1870869	801033	
1480115751	246096	1875965	803274	

